index,date,hour,Category,District,count,weather,dayoff
161,2019-01-02,10,2,3,2,0.625,1
162,2019-01-02,10,2,5,1,0.625,1
163,2019-01-02,10,2,6,1,0.625,1
164,2019-01-02,10,2,9,2,0.625,1
165,2019-01-02,10,2,11,1,0.625,1
166,2019-01-02,10,2,12,1,0.625,1
167,2019-01-02,10,2,14,1,0.625,1
168,2019-01-02,10,4,13,1,0.625,1
169,2019-01-02,11,1,5,1,0.625,1
170,2019-01-02,11,2,0,2,0.625,1
171,2019-01-02,11,2,5,1,0.625,1
172,2019-01-02,11,2,7,1,0.625,1
173,2019-01-02,11,2,9,1,0.625,1
174,2019-01-02,11,2,14,1,0.625,1
175,2019-01-02,12,1,7,1,0.625,1
176,2019-01-02,12,2,7,2,0.625,1
177,2019-01-02,12,2,14,2,0.625,1
178,2019-01-02,12,4,7,1,0.625,1
179,2019-01-02,12,4,12,1,0.625,1
180,2019-01-02,13,1,7,1,0.625,1
181,2019-01-02,13,2,0,1,0.625,1
182,2019-01-02,13,2,2,1,0.625,1
183,2019-01-02,13,5,2,1,0.625,1
184,2019-01-02,13,5,12,1,0.625,1
185,2019-01-02,13,5,14,4,0.625,1
186,2019-01-02,14,1,9,1,0.625,1
187,2019-01-02,14,2,7,2,0.625,1
188,2019-01-02,14,2,10,2,0.625,1
189,2019-01-02,14,2,14,1,0.625,1
190,2019-01-02,14,4,14,1,0.625,1
191,2019-01-02,14,5,1,1,0.625,1
192,2019-01-02,15,1,2,1,0.625,1
193,2019-01-02,15,5,3,1,0.625,1
194,2019-01-02,15,5,8,1,0.625,1
195,2019-01-02,15,5,9,1,0.625,1
196,2019-01-02,15,5,16,1,0.625,1
197,2019-01-02,16,2,0,1,0.625,1
198,2019-01-02,16,2,1,1,0.625,1
199,2019-01-02,16,2,6,1,0.625,1
200,2019-01-02,16,2,7,1,0.625,1
201,2019-01-02,16,2,9,2,0.625,1
202,2019-01-02,16,2,11,3,0.625,1
203,2019-01-02,16,4,7,2,0.625,1
204,2019-01-02,16,5,5,1,0.625,1
205,2019-01-02,17,1,5,1,0.625,1
206,2019-01-02,17,2,1,1,0.625,1
207,2019-01-02,17,5,2,1,0.625,1
208,2019-01-02,18,2,4,2,0.625,1
209,2019-01-02,18,2,5,2,0.625,1
210,2019-01-02,18,2,8,1,0.625,1
211,2019-01-02,18,2,11,1,0.625,1
212,2019-01-02,18,2,12,1,0.625,1
213,2019-01-02,18,4,12,3,0.625,1
214,2019-01-02,18,5,1,1,0.625,1
215,2019-01-02,18,5,3,2,0.625,1
216,2019-01-02,19,4,0,1,0.625,1
217,2019-01-02,19,4,1,1,0.625,1
218,2019-01-02,19,4,3,1,0.625,1
219,2019-01-02,19,4,7,1,0.625,1
220,2019-01-02,19,4,13,1,0.625,1
221,2019-01-02,19,5,4,1,0.625,1
222,2019-01-02,19,5,6,3,0.625,1
223,2019-01-02,20,2,11,2,0.625,1
224,2019-01-02,20,4,3,1,0.625,1
225,2019-01-02,20,4,9,1,0.625,1
226,2019-01-02,20,4,14,1,0.625,1
227,2019-01-02,20,5,5,1,0.625,1
228,2019-01-02,20,5,7,1,0.625,1
229,2019-01-02,20,5,8,1,0.625,1
230,2019-01-02,20,5,9,1,0.625,1
231,2019-01-02,21,2,8,2,0.625,1
232,2019-01-02,21,2,10,1,0.625,1
233,2019-01-02,21,2,11,2,0.625,1
234,2019-01-02,21,4,3,2,0.625,1
235,2019-01-02,21,4,7,1,0.625,1
236,2019-01-02,21,4,8,1,0.625,1
237,2019-01-02,21,4,9,3,0.625,1
238,2019-01-02,21,4,15,1,0.625,1
239,2019-01-02,21,5,5,2,0.625,1
240,2019-01-02,21,5,9,1,0.625,1
241,2019-01-02,21,5,12,1,0.625,1
242,2019-01-02,22,1,0,1,0.625,1
243,2019-01-02,22,2,11,1,0.625,1
244,2019-01-02,22,2,14,2,0.625,1
245,2019-01-02,22,4,5,1,0.625,1
246,2019-01-02,22,5,7,2,0.625,1
247,2019-01-02,23,4,9,2,0.625,1
248,2019-01-02,23,4,16,1,0.625,1
249,2019-01-02,23,5,7,1,0.625,1
250,2019-01-03,0,5,1,2,-2.7375000000000003,1
251,2019-01-03,0,5,9,1,-2.7375000000000003,1
252,2019-01-03,1,4,0,1,-2.7375000000000003,1
253,2019-01-03,1,4,14,1,-2.7375000000000003,1
254,2019-01-03,1,5,12,1,-2.7375000000000003,1
255,2019-01-03,2,4,0,3,-2.7375000000000003,1
256,2019-01-03,3,2,3,3,-2.7375000000000003,1
257,2019-01-03,5,2,3,4,-2.7375000000000003,1
258,2019-01-03,6,4,7,1,-2.7375000000000003,1
259,2019-01-03,6,5,7,2,-2.7375000000000003,1
260,2019-01-03,9,2,11,2,-2.7375000000000003,1
261,2019-01-03,10,2,0,2,-2.7375000000000003,1
262,2019-01-03,10,2,3,10,-2.7375000000000003,1
263,2019-01-03,10,2,9,1,-2.7375000000000003,1
264,2019-01-03,10,2,10,1,-2.7375000000000003,1
265,2019-01-03,11,2,0,3,-2.7375000000000003,1
266,2019-01-03,11,2,3,14,-2.7375000000000003,1
267,2019-01-03,11,2,6,1,-2.7375000000000003,1
268,2019-01-03,11,2,14,5,-2.7375000000000003,1
269,2019-01-03,11,4,6,1,-2.7375000000000003,1
270,2019-01-03,11,5,3,1,-2.7375000000000003,1
271,2019-01-03,11,5,7,1,-2.7375000000000003,1
272,2019-01-03,11,5,8,1,-2.7375000000000003,1
273,2019-01-03,12,1,1,1,-2.7375000000000003,1
274,2019-01-03,12,2,10,1,-2.7375000000000003,1
275,2019-01-03,12,2,14,1,-2.7375000000000003,1
276,2019-01-03,12,4,3,1,-2.7375000000000003,1
277,2019-01-03,12,5,0,1,-2.7375000000000003,1
278,2019-01-03,13,1,5,1,-2.7375000000000003,1
279,2019-01-03,13,2,0,1,-2.7375000000000003,1
280,2019-01-03,13,2,10,2,-2.7375000000000003,1
281,2019-01-03,13,4,0,3,-2.7375000000000003,1
282,2019-01-03,14,2,6,2,-2.7375000000000003,1
283,2019-01-03,14,2,8,1,-2.7375000000000003,1
284,2019-01-03,14,2,9,1,-2.7375000000000003,1
285,2019-01-03,14,2,14,1,-2.7375000000000003,1
286,2019-01-03,14,2,15,1,-2.7375000000000003,1
287,2019-01-03,14,4,0,1,-2.7375000000000003,1
